# 公考真题知识库（格式：题型|题目|选项A|选项B|选项C|选项D|答案|解析）
常识|根据我国宪法，下列关于自然资源的归属，说法错误的是？|A. 矿藏、水流属于国家所有|B. 森林、山岭原则上属于国家所有|C. 农村宅基地属于集体所有|D. 城市郊区土地一律属于国家所有|D|城市郊区土地除法律规定属于国家所有外，属于集体所有，D表述绝对化，错误。
常识|下列关于我国人大代表选举，表述正确的是？|A. 设区的市人大代表由选民直接选举|B. 乡级人大代表由选民间接选举|C. 省级人大代表由下一级人大选举|D. 县级以上人大代表由直接选举产生|C|省级、设区的市级人大代表由下一级人大选举，属于间接选举。
常识|下列行为属于行政处罚的是?|A. 罚金|B. 撤职|C. 吊销许可证|D. 降级|C|行政处罚包括警告、罚款、吊销许可证等，罚金属于刑罚，撤职降级属于行政处分。
常识|下列历史事件按时间排序正确的是？|A. 文景之治—贞观之治—康乾盛世|B. 贞观之治—文景之治—康乾盛世|C. 康乾盛世—文景之治—贞观之治|D. 贞观之治—康乾盛世—文景之治|A|汉→唐→清，顺序正确。
常识|下列不属于儒家经典“四书”的是？|A. 论语|B. 孟子|C. 诗经|D. 大学|C|四书：论语、孟子、大学、中庸；诗经属于五经。
常识|我国的根本大法是？|A. 民法典|B. 宪法|C. 刑法|D. 立法法|B|宪法是我国的根本大法，具有最高法律效力。
常识|下列气体不属于温室气体的是？|A. 二氧化碳|B. 甲烷|C. 氧气|D. 臭氧|C|氧气不产生温室效应。
常识|下列成语与历史人物对应错误的是？|A. 卧薪尝胆—勾践|B. 破釜沉舟—项羽|C. 望梅止渴—曹操|D. 指鹿为马—李斯|D|指鹿为马对应的是赵高，不是李斯。
常识|我国最大的淡水湖是？|A. 洞庭湖|B. 鄱阳湖|C. 太湖|D. 洪泽湖|B|鄱阳湖是我国面积最大的淡水湖。
常识|下列不属于“唐宋八大家”的是？|A. 韩愈|B. 柳宗元|C. 李白|D. 欧阳修|C|李白是诗人，不属于唐宋八大家。

言语|下列各句中，没有语病且句意明确的是？|A. 面对复杂局面，领导干部必须增强辨别是非和解决问题。|B. 能否贯彻新发展理念，是推动高质量发展的关键。|C. 他背着总经理和副总经理把资金转入了秘密账户。|D. 只有坚持人民至上，才能真正实现社会公平正义。|D|A成分残缺；B两面对一面；C歧义；D无语病。
言语|治理环境污染不能______，必须久久为功、常抓不懈。|A. 走马观花|B. 浅尝辄止|C. 浮光掠影|D. 蜻蜓点水|B|浅尝辄止指不深入钻研，与久久为功形成反义对应，最符合语境。
言语|下列词语中，没有错别字的一项是？|A. 甘拜下风|B. 自抱自弃|C. 一筹莫展|D. 迫不及待|A|B自暴自弃；C正确；D正确，但A最标准。
言语|在这个转型升级的关键时期，企业______创新，才能突破瓶颈。|A. 必须|B. 必需|C. 必然|D. 定然|A|必须是副词，修饰动词；必需是动词。
言语|下列句子中，标点符号使用正确的是？|A. 我不知道这条路是否能走通？|B. 今天的作业有语文、数学、和英语。|C. 他说：“你一定要努力。”|D. 北京、上海、广州、等城市。|C|A不是问句；B多顿号；D多等字。
言语|传统技艺的传承，不仅在于技艺本身，更在于其______的文化内涵。|A. 博大精深|B. 源远流长|C. 匠心独运|D. 独树一帜|A|博大精深最适合形容文化内涵。
言语|下列句子没有歧义的是？|A. 我想起来了。|B. 他借我一本书。|C. 今天来了几个单位的领导。|D. 我们要学习文件。|B|其余三项均存在歧义。
言语|乡村振兴，关键是______振兴，基础是文化振兴。|A. 产业|B. 人才|C. 生态|D. 组织|A|乡村振兴五大重点：产业、人才、文化、生态、组织，产业是关键。
言语|这部作品深刻______了社会现实，具有强烈的艺术______。|A. 反映 感染力|B. 反应 感染力|C. 反映 感受力|D. 反应 感受力|A|反映是动词，艺术感染力为固定搭配。
言语|下列句子中，成语使用恰当的是？|A. 他乐于助人，总是炙手可热。|B. 博物馆里的文物琳琅满目。|C. 大家见仁见智，终于达成一致。|D. 他的文章文不加点，让人难懂。|B|只有B使用正确。

判断|面粉：小麦 与 （ ）逻辑关系最相似？|A. 巧克力：糖果|B. 水银：金属|C. 米酒：糯米|D. 电子：原子|C|面粉由小麦加工，米酒由糯米加工，原材料对应。
判断|所有参会代表都是男性，有些男性是党员，可推出？|A. 所有党员参会|B. 有些党员参会|C. 所有代表是党员|D. 无法推出必然结论|D|两个前提无法构成有效三段论，无必然结论。
判断|男人：运动员 属于？|A. 全同关系|B. 交叉关系|C. 种属关系|D. 并列关系|B|有的男人是运动员，有的运动员是男人，交叉关系。
判断|春夏秋冬：四季 相当于？|A. 喜怒哀乐：情绪|B. 东南西北：四方|C. 上下左右：方向|D. 琴棋书画：四艺|B|春夏秋冬=四季，东南西北=四方，全同关系。
判断|如果努力学习，就能取得进步。小明没进步，可推出？|A. 小明没努力|B. 小明努力了|C. 无法推出|D. 小明很聪明|A|否后必否前，逻辑推理。
判断|钢笔：文具 属于？|A. 并列|B. 种属|C. 交叉|D. 全同|B|钢笔属于文具，种属关系。
判断|下雨：地面湿 是？|A. 因果关系|B. 条件关系|C. 顺承关系|D. 目的关系|A|因为下雨，所以地面湿，因果关系。
判断|所有金属都导电，铜是金属，所以铜导电。这是？|A. 归纳推理|B. 演绎推理|C. 类比推理|D. 概率推理|B|从一般到特殊，属于演绎推理。
判断|工人：工厂 对应？|A. 医生：医院|B. 教师：学生|C. 演员：表演|D. 法官：法律|A|职业与工作场所对应。
判断|坚若磐石 对于 意志 相当于？|A. 赤胆忠心 忠诚|B. 锲而不舍 坚持|C. 一视同仁 偏心|D. 得心应手 顺利|A|坚若磐石形容意志，赤胆忠心形容忠诚。

